Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RIVN,RIVN,RIVN,RIVN,RIVN,RIVN
Date,,,,,,
2022-01-03,102.72000122070312,102.72000122070312,106.55000305175781,100.25,106.13999938964844,8346800
2022-01-04,101.38999938964844,101.38999938964844,106.80000305175781,99.01399993896484,102.98999786376953,12152200
2022-01-05,90.01000213623047,90.01000213623047,99.21499633789062,89.27999877929688,98.31999969482422,18645100
2022-01-06,87.33000183105469,87.33000183105469,92.02999877929688,75.12999725341797,91.87999725341797,39827100
2022-01-07,86.27999877929688,86.27999877929688,89.2699966430664,81.62100219726562,87.0199966430664,17515900
2022-01-10,81.44000244140625,81.44000244140625,83.75,77.6500015258789,83.5199966430664,17289800
2022-01-11,83.55000305175781,83.55000305175781,86.58000183105469,78.12000274658203,78.94000244140625,19970600
2022-01-12,86.4800033569336,86.4800033569336,88.06999969482422,82.62999725341797,84.9000015258789,14422800
2022-01-13,80.30999755859375,80.30999755859375,86.94000244140625,79.88999938964844,86.94000244140625,13677500
2022-01-14,79.94999694824219,79.94999694824219,81.69000244140625,77.01000213623047,79.56999969482422,15838000
2022-01-18,73.16000366210938,73.16000366210938,77.83999633789062,72.8550033569336,77.5250015258789,16803700
2022-01-19,69.4000015258789,69.4000015258789,76.31999969482422,68.94999694824219,74.81999969482422,15068400
2022-01-20,65.0199966430664,65.0199966430664,72.08000183105469,64.80999755859375,70.85800170898438,18642700
2022-01-21,64.51000213623047,64.51000213623047,67.16000366210938,60.5099983215332,63.8650016784668,19344700
2022-01-24,63.900001525878906,63.900001525878906,64.30000305175781,55.099998474121094,60.11000061035156,24115900
2022-01-25,59.61000061035156,59.61000061035156,61.93000030517578,58.0,61.10499954223633,16557200
2022-01-26,60.27000045776367,60.27000045776367,68.06999969482422,59.0099983215332,62.349998474121094,23694100
2022-01-27,53.939998626708984,53.939998626708984,61.70000076293945,53.33100128173828,61.33000183105469,23416400
2022-01-28,57.119998931884766,57.119998931884766,57.29999923706055,50.0,53.599998474121094,23965100
